SID,Grade,Dropdown,When,Referrer Name,Task Owner
861274553,100,Lab3,22-May-2017 05:35 PM,,aocalderon.ucr@gmail.com
861296777,100,Lab3,22-May-2017 05:31 PM,,aocalderon.ucr@gmail.com
861269942,100,Lab3,22-May-2017 05:29 PM,,aocalderon.ucr@gmail.com
861280519,100,Lab3,22-May-2017 05:28 PM,,aocalderon.ucr@gmail.com
861290552,100,Lab3,22-May-2017 05:26 PM,,aocalderon.ucr@gmail.com
861277505,95,Lab3,22-May-2017 05:25 PM,,aocalderon.ucr@gmail.com
861259950,95,Lab3,22-May-2017 05:23 PM,,aocalderon.ucr@gmail.com
861276708,95,Lab3,22-May-2017 05:20 PM,,aocalderon.ucr@gmail.com
861275411,95,Lab3,22-May-2017 05:18 PM,,aocalderon.ucr@gmail.com
861281332,85,Lab3,22-May-2017 05:15 PM,,aocalderon.ucr@gmail.com
861260602,100,Lab3,22-May-2017 05:13 PM,,aocalderon.ucr@gmail.com
861293488,100,Lab3,22-May-2017 05:12 PM,,aocalderon.ucr@gmail.com
861296866,90,Lab3,22-May-2017 05:11 PM,,aocalderon.ucr@gmail.com
861310064,100,Lab3,22-May-2017 05:08 PM,,aocalderon.ucr@gmail.com
861296476,100,Lab3,22-May-2017 05:03 PM,,aocalderon.ucr@gmail.com
861281144,100,Lab3,22-May-2017 04:15 PM,,aocalderon.ucr@gmail.com
861160180,75,Lab3,22-May-2017 04:12 PM,,aocalderon.ucr@gmail.com
861261247,100,Lab3,22-May-2017 04:11 PM,,aocalderon.ucr@gmail.com
861312391,100,Lab3,22-May-2017 04:05 PM,,aocalderon.ucr@gmail.com
861263425,80,Lab3,22-May-2017 04:02 PM,,aocalderon.ucr@gmail.com
861264953,70,Lab3,22-May-2017 03:59 PM,,aocalderon.ucr@gmail.com
861276957,100,Lab3,22-May-2017 03:58 PM,,aocalderon.ucr@gmail.com
861265173,95,Lab3,22-May-2017 03:54 PM,,aocalderon.ucr@gmail.com
861266505,100,Lab3,22-May-2017 03:52 PM,,aocalderon.ucr@gmail.com
861264270,100,Lab3,22-May-2017 03:52 PM,,aocalderon.ucr@gmail.com
861217098,100,Lab3,22-May-2017 03:50 PM,,aocalderon.ucr@gmail.com
861303957,100,Lab3,22-May-2017 03:46 PM,,aocalderon.ucr@gmail.com
861268193,100,Lab3,22-May-2017 03:45 PM,,aocalderon.ucr@gmail.com
861229956,100,Lab3,22-May-2017 03:44 PM,,aocalderon.ucr@gmail.com
861274373,100,Lab3,22-May-2017 03:42 PM,,aocalderon.ucr@gmail.com
861293471,100,Lab3,22-May-2017 03:36 PM,,aocalderon.ucr@gmail.com
861205480,90,Lab3,22-May-2017 03:33 PM,,aocalderon.ucr@gmail.com
861272267,100,Lab3,22-May-2017 03:31 PM,,aocalderon.ucr@gmail.com
861167505,100,Lab3,22-May-2017 03:31 PM,,aocalderon.ucr@gmail.com
861236995,100,Lab3,22-May-2017 03:28 PM,,aocalderon.ucr@gmail.com
861098705,100,Lab3,22-May-2017 03:26 PM,,aocalderon.ucr@gmail.com
861289389,95,Lab3,22-May-2017 03:23 PM,,aocalderon.ucr@gmail.com
861235042,100,Lab3,22-May-2017 03:22 PM,,aocalderon.ucr@gmail.com
861256270,100,Lab3,22-May-2017 03:21 PM,,aocalderon.ucr@gmail.com
861287169,100,Lab3,22-May-2017 03:19 PM,,aocalderon.ucr@gmail.com
861288763,95,Lab3,22-May-2017 03:17 PM,,aocalderon.ucr@gmail.com
861282876,100,Lab3,22-May-2017 03:13 PM,,aocalderon.ucr@gmail.com
816301514,65,Lab3,22-May-2017 03:10 PM,,aocalderon.ucr@gmail.com
861172627,100,Lab3,22-May-2017 03:08 PM,,aocalderon.ucr@gmail.com
861090476,100,Lab3,22-May-2017 03:06 PM,,aocalderon.ucr@gmail.com
861291288,100,Lab3,19-May-2017 06:07 PM,,aocalderon.ucr@gmail.com
861285063,100,Lab3,19-May-2017 05:41 PM,,aocalderon.ucr@gmail.com
861268001,100,Lab3,19-May-2017 05:40 PM,,aocalderon.ucr@gmail.com
861282451,100,Lab3,19-May-2017 04:08 PM,,aocalderon.ucr@gmail.com
861218794,100,Lab3,15-May-2017 05:59 PM,,aocalderon.ucr@gmail.com
861128749,100,Lab3,15-May-2017 05:37 PM,,aocalderon.ucr@gmail.com
861151146,100,Lab3,15-May-2017 04:41 PM,,aocalderon.ucr@gmail.com
861094977,100,Lab3,15-May-2017 03:47 PM,https://forms.zoho.com/ucr/form/CopyofCS008Grades/thankyou,aocalderon.ucr@gmail.com
861298725,100,Lab3,15-May-2017 03:46 PM,https://forms.zoho.com/ucr/home,aocalderon.ucr@gmail.com
861262985,100,Lab3,15-May-2017 03:37 PM,,aocalderon.ucr@gmail.com
861273705,100,Lab3,15-May-2017 03:36 PM,,aocalderon.ucr@gmail.com
861196390,100,Lab3,15-May-2017 03:36 PM,,aocalderon.ucr@gmail.com
861303152,100,Lab3,15-May-2017 03:35 PM,,aocalderon.ucr@gmail.com
861241452,100,Lab3,15-May-2017 03:14 PM,,aocalderon.ucr@gmail.com
